iteration,log_likelihood,network_size,parameters,description
386,-15.662547988176629,59,5000_2500_1_0.2_0.1_100,
387,-15.662547988176629,59,5000_2500_1_0.2_0.1_100,
388,-15.740814774569364,60,5000_2500_1_0.2_0.1_100,
389,-15.740814774569364,60,5000_2500_1_0.2_0.1_100,
390,-15.740814774569364,60,5000_2500_1_0.2_0.1_100,
391,-15.740814774569364,60,5000_2500_1_0.2_0.1_100,
392,-15.740814774569364,60,5000_2500_1_0.2_0.1_100,
393,-15.740814774569364,60,5000_2500_1_0.2_0.1_100,
394,-15.740814774569364,60,5000_2500_1_0.2_0.1_100,
395,-15.740814774569364,60,5000_2500_1_0.2_0.1_100,
396,-15.740814774569364,60,5000_2500_1_0.2_0.1_100,
397,-15.740814774569364,60,5000_2500_1_0.2_0.1_100,
398,-15.740814774569364,60,5000_2500_1_0.2_0.1_100,
399,-15.740814774569364,60,5000_2500_1_0.2_0.1_100,
400,-15.740814774569364,60,5000_2500_1_0.2_0.1_100,
401,-15.924894462953503,61,5000_2500_1_0.2_0.1_100,
402,-15.924894462953503,61,5000_2500_1_0.2_0.1_100,
403,-15.924894462953503,61,5000_2500_1_0.2_0.1_100,
404,-15.924894462953509,61,5000_2500_1_0.2_0.1_100,
405,-15.924894462953503,61,5000_2500_1_0.2_0.1_100,
406,-15.924894462953503,61,5000_2500_1_0.2_0.1_100,
407,-16.579400192489818,62,5000_2500_1_0.2_0.1_100,
408,-16.579400192489818,62,5000_2500_1_0.2_0.1_100,
409,-16.579400192489818,62,5000_2500_1_0.2_0.1_100,
410,-16.57940019248982,62,5000_2500_1_0.2_0.1_100,
411,-16.57940019248982,62,5000_2500_1_0.2_0.1_100,
412,-16.57940019248982,62,5000_2500_1_0.2_0.1_100,
413,-16.57940019248982,62,5000_2500_1_0.2_0.1_100,
414,-16.57940019248982,62,5000_2500_1_0.2_0.1_100,
415,-16.8050563077146,63,5000_2500_1_0.2_0.1_100,
416,-16.998226967798896,64,5000_2500_1_0.2_0.1_100,
417,-16.9982269677989,64,5000_2500_1_0.2_0.1_100,
418,-16.998226967798896,64,5000_2500_1_0.2_0.1_100,
419,-16.998226967798896,64,5000_2500_1_0.2_0.1_100,
420,-17.100942163220882,65,5000_2500_1_0.2_0.1_100,
