node_a,node_b,weight
36,368,0.7432873274780426
93,305,0.8318695106649937
45,242,0.6903969706465182
193,319,0.7695095579496875
93,125,0.6923591092830511
45,60,0.6135508155583438
353,442,0.8580586980393308
32,364,0.735816402843933
195,226,0.8464850355772595
34,158,0.7189460476787954
125,301,0.6792973651191969
272,395,0.7603513174404015
173,270,0.7240214534892313
60,270,0.8466176450665389
173,283,0.6941134973915156
36,173,0.5006273525721455
431,283,0.617314930991217
122,181,0.8096058197710965
37,137,0.499685207701538
158,283,0.7144061165803655
88,195,0.5744235566078125
89,121,0.6276130140921692
136,386,0.9454793621295213
88,433,0.5168961658211257
158,384,0.806268878280156
45,221,0.5332776551970957
58,124,0.6456517347272637
305,386,0.8291358740662417
88,223,0.537458089554013
221,273,0.6237966031059372
31,94,0.8418405414219118
319,22,0.7716436637390214
82,22,0.7730425562938752
380,388,0.8732747804265998
89,124,0.8698602651919114
45,395,0.8047741725228307
201,388,0.7270275002378753
175,301,0.9738063886247441
195,301,0.8343789209535759
126,319,0.8923502363107072
124,352,0.810794488838462
153,175,0.8409569580951028
386,326,0.964329790207401
83,388,0.6204300969832613
122,432,0.820577164366374
34,244,0.7751695901190351
83,243,0.8866354468218631
2,125,0.720702634880803
440,432,0.9515735516688625
82,386,0.7493172946617357
244,329,0.742619198143192
31,216,0.7603283484301683
195,426,0.8194643750701026
311,432,0.6872818245507268
193,388,0.6944762331662132
89,234,0.7844105471109779
136,388,0.8243412797992472
58,283,0.726474278544542
58,136,0.811256120112971
136,353,0.8852969049556064
368,384,1.0068001121960453
89,326,0.7106346765951643
193,299,0.7730258136239332
53,319,0.8281053952321205
124,243,0.8148055207026349
37,442,0.760037153398504
34,395,0.8281053952321205
125,301,0.6404659726622044
110,215,0.7495884276339941
181,380,0.8557089084065245
36,326,0.637892095357591
37,82,0.7255007742944811
136,442,0.767878717877559
193,234,0.7451224092784569
88,124,0.5834378920953576
32,199,0.8469259723964868
137,353,0.6803011292346299
94,270,0.8261220883543329
243,283,0.9284009417274085
126,246,0.8352224114754944
82,173,0.5200892100043882
82,301,0.6650861027226329
195,244,0.9985308455032289
37,221,0.5923878221993845
105,15,0.595921320994061
94,244,0.6624307658985101
36,270,0.535560282712407
2,88,0.7889754250748097
123,244,0.6161695522165669
58,243,0.8380760114486422
386,15,0.7227101631116688
353,352,0.6737766624843162
89,93,0.63935982487009
121,173,0.5108784927736709
110,225,0.9409880728273254
190,413,0.6632673271890678
60,384,0.726474278544542
53,432,0.7703975031138134
32,94,0.7779171894604768
34,221,0.6459746134098132
32,82,0.7033527981126206
153,202,0.6191605855251341
195,347,0.8342808240095569
105,432,0.6452611510252
225,293,0.7137870029477361
353,299,0.8479408553643857
53,193,0.8072145165154326
37,136,0.6775407779171895
216,270,0.8883312421580929
136,426,0.8582183186951067
368,273,0.6994956729893023
173,273,0.6318683582738954
83,126,0.5426244841919605
293,433,0.7710633443460091
88,15,0.48525355670984527
181,386,0.8429109159347553
293,270,0.820577164366374
124,387,0.7884567126725219
45,442,0.7066499372647428
36,93,0.7021075663909763
93,136,0.726474278544542
202,387,0.6737766624843162
32,387,1.0291289546200344
181,270,0.8318695106649937
156,386,0.5354279671572196
110,305,1.057794868249685
353,364,0.7229603128781892
31,82,0.7376974312991291
122,350,0.8649556562928888
37,244,0.7076537013801757
177,193,0.5346575043977995
136,311,0.7415307402760352
158,442,0.8652361639812172
387,299,0.8431618569636136
123,350,0.5393217417129147
380,22,0.8248431618569636
122,216,0.9435084672805801
121,136,0.7302383939774153
121,153,0.5503523467843674
105,136,0.8226292685183426
88,124,0.6292927575307317
15,432,0.7820208258316224
125,368,0.8887498983767603
380,433,0.717470499062006
122,134,0.7890567937760976
177,272,0.7829241670061212
53,134,0.7339010902175335
32,305,1.0477340618830946
88,433,0.6025094102885822
242,293,0.8033730040810588
215,426,0.7143220786809806
137,347,0.617314930991217
125,347,0.4771160364172308
202,347,0.5967330328887697
36,105,0.4915929829144136
82,202,0.5751730020507735
60,105,0.6056875781089496
272,270,0.7973526826029564
37,364,0.5824341279799247
