iteration,log_likelihood,network_size
702,-39.6425599712267,132
703,-39.64255997122671,132
704,-39.98836039827756,133
705,-39.98836039827756,133
706,-39.98836039827756,133
707,-39.98836039827756,133
708,-39.98836039827756,133
709,-39.98836039827756,133
710,-39.98836039827756,133
711,-40.181531058361855,134
712,-40.181531058361855,134
713,-40.41666591753999,135
714,-40.41666591753999,135
715,-40.41666591753999,135
716,-40.41666591753998,135
717,-40.41666591753998,135
718,-40.41666591753998,135
719,-40.41666591753998,135
720,-40.41666591753998,135
721,-40.783972549808716,136
722,-40.78397254980871,136
723,-41.02069597167178,137
724,-41.02069597167178,137
725,-41.02069597167178,137
726,-41.02069597167177,137
727,-41.02069597167176,137
728,-41.02069597167177,137
729,-41.02069597167177,137
730,-41.02069597167177,137
731,-41.020695971671785,137
732,-41.020695971671785,137
733,-41.020695971671785,137
734,-41.020695971671785,137
735,-41.020695971671785,137
736,-41.020695971671785,137
737,-41.020695971671785,137
738,-41.020695971671785,137
739,-41.02069597167179,137
740,-41.309633536835904,138
741,-41.309633536835904,138
742,-41.309633536835904,138
743,-41.309633536835904,138
744,-41.6448518545577,139
745,-42.159028968416045,140
746,-42.159028968416045,140
747,-42.159028968416045,140
748,-42.15902896841604,140
749,-42.15902896841604,140
750,-42.15902896841604,140
751,-42.15902896841604,140
752,-42.15902896841604,140
753,-42.15902896841604,140
754,-42.65367502304177,141
755,-42.65367502304177,141
756,-43.03742038165127,142
757,-43.03742038165127,142
758,-43.03742038165127,142
759,-43.03742038165127,142
760,-43.03742038165127,142
761,-43.03742038165127,142
762,-43.421165740260776,143
763,-43.42116574026078,143
764,-43.421165740260776,143
765,-43.42116574026078,143
766,-43.63277010203166,144
767,-44.01394050979816,145
768,-44.013940509798154,145
769,-44.013940509798154,145
770,-44.013940509798154,145
771,-44.01394050979815,145
772,-44.01394050979814,145
773,-44.01394050979813,145
774,-44.318068240454174,146
775,-44.31806824045418,146
776,-44.31806824045418,146
777,-44.31806824045418,146
778,-44.50426177531445,147
779,-45.017599962949234,148
780,-45.238550187137186,149
781,-45.238550187137186,149
782,-45.238550187137186,149
783,-45.238550187137186,149
784,-45.492916408240745,150
785,-45.865672645276256,151
786,-45.86567264527626,151
787,-45.86567264527626,151
788,-45.865672645276256,151
789,-45.865672645276256,151
790,-45.865672645276256,151
791,-45.86567264527626,151
792,-46.30352615088813,152
793,-46.30352615088813,152
794,-46.30352615088813,152
795,-46.368315644338836,153
796,-46.368315644338836,153
797,-46.36831564433882,153
798,-46.36831564433882,153
799,-46.36831564433882,153
800,-46.36831564433882,153
801,-46.36831564433883,153
802,-46.36831564433883,153
803,-46.36831564433883,153
804,-46.780074039171836,154
805,-46.780074039171836,154
806,-46.780074039171836,154
807,-46.780074039171836,154
808,-46.78007403917183,154
809,-46.78007403917183,154
810,-46.78007403917183,154
811,-46.78007403917182,154
812,-46.78007403917182,154
813,-46.78007403917182,154
814,-46.78007403917182,154
815,-46.78007403917182,154
816,-46.78007403917182,154
817,-46.78007403917182,154
818,-46.78007403917182,154
819,-46.78007403917182,154
820,-46.78007403917182,154
821,-46.78007403917182,154
822,-46.78007403917182,154
823,-46.780074039171815,154
824,-46.91989871855712,155
825,-47.14210168327831,156
826,-47.14210168327831,156
827,-47.14210168327831,156
828,-47.14210168327831,156
829,-47.61557430847752,157
830,-48.07982288592379,158
831,-48.07982288592379,158
832,-48.07982288592379,158
833,-48.07982288592379,158
834,-48.0798228859238,158
835,-48.0798228859238,158
836,-48.59947024275079,159
837,-48.59947024275079,159
838,-48.59947024275079,159
839,-48.59947024275079,159
840,-48.59947024275079,159
841,-48.59947024275079,159
842,-48.59947024275079,159
843,-48.59947024275079,159
844,-48.59947024275079,159
845,-48.59947024275079,159
846,-48.8884078079149,160
847,-48.8884078079149,160
848,-49.123542667093034,161
849,-49.123542667093034,161
850,-49.123542667093034,161
851,-49.60551220766437,162
852,-49.60551220766437,162
853,-49.60551220766437,162
854,-49.60551220766436,162
855,-49.60551220766436,162
856,-49.60551220766436,162
857,-49.60551220766436,162
858,-49.60551220766436,162
859,-49.60551220766436,162
860,-49.60551220766436,162
861,-49.60551220766436,162
862,-49.60551220766436,162
863,-49.78297731991788,163
864,-49.78297731991788,163
865,-49.78297731991788,163
866,-49.78297731991789,163
867,-50.18869340029585,164
868,-50.18869340029585,164
869,-50.18869340029585,164
870,-50.18869340029585,164
871,-50.18869340029585,164
872,-50.55057996509603,165
873,-50.55057996509603,165
874,-50.55057996509603,165
875,-50.55057996509603,165
876,-50.55057996509603,165
877,-50.55057996509603,165
878,-50.55057996509603,165
879,-50.80332937097289,166
880,-50.80332937097289,166
881,-50.80332937097289,166
882,-50.80332937097289,166
883,-50.80332937097289,166
884,-50.80332937097289,166
885,-50.80332937097289,166
886,-50.803329370972904,166
887,-50.80332937097291,166
888,-50.80332937097291,166
889,-50.80332937097291,166
890,-50.80332937097292,166
891,-50.80332937097292,166
892,-50.80332937097292,166
893,-50.80332937097292,166
894,-50.80332937097292,166
895,-50.80332937097292,166
896,-50.80332937097292,166
897,-50.80332937097292,166
898,-51.20378821055369,167
899,-51.20378821055369,167
900,-51.20378821055369,167
901,-51.20378821055369,167
902,-51.20378821055369,167
903,-51.20378821055369,167
904,-51.20378821055369,167
905,-51.20378821055369,167
906,-51.670034790662314,168
907,-51.670034790662314,168
908,-51.670034790662314,168
909,-51.9173064963603,169
910,-51.9173064963603,169
911,-51.99774660607496,170
912,-51.99774660607496,170
913,-51.99774660607496,170
914,-51.99774660607496,170
915,-52.042654728973936,171
916,-52.042654728973936,171
917,-52.042654728973936,171
918,-52.042654728973936,171
919,-52.042654728973936,171
920,-52.042654728973936,171
921,-52.042654728973936,171
922,-52.042654728973936,171
923,-52.042654728973936,171
924,-52.042654728973936,171
925,-52.042654728973936,171
926,-52.042654728973936,171
927,-52.454413123806944,172
928,-52.454413123806944,172
929,-52.454413123806944,172
930,-52.454413123806944,172
931,-52.454413123806944,172
932,-52.454413123806944,172
933,-52.45441312380695,172
934,-52.70877934491051,173
935,-52.70877934491051,173
936,-52.70877934491051,173
937,-52.70877934491051,173
938,-52.7087793449105,173
939,-52.7087793449105,173
940,-52.7087793449105,173
941,-52.7087793449105,173
942,-52.7087793449105,173
943,-52.7087793449105,173
944,-52.7087793449105,173
945,-52.7087793449105,173
946,-52.7087793449105,173
947,-52.7087793449105,173
948,-53.15326443324105,174
949,-53.15326443324105,174
950,-53.15326443324105,174
951,-53.15326443324105,174
952,-53.15326443324105,174
953,-53.15326443324105,174
954,-53.57377312168295,175
955,-53.985531516515955,176
956,-53.985531516515955,176
957,-53.985531516515955,176
958,-53.985531516515955,176
959,-53.985531516515955,176
960,-53.985531516515955,176
961,-53.985531516515955,176
962,-53.985531516515955,176
963,-53.98553151651595,176
964,-54.13638358564937,177
965,-54.13638358564937,177
966,-54.13638358564937,177
967,-54.13638358564937,177
968,-54.13638358564937,177
969,-54.13638358564938,177
970,-54.13638358564938,177
971,-54.13638358564938,177
972,-54.13638358564938,177
973,-54.13638358564938,177
974,-54.13638358564938,177
975,-54.13638358564938,177
976,-54.13638358564938,177
977,-54.13638358564938,177
978,-54.13638358564938,177
979,-54.13638358564938,177
980,-54.13638358564938,177
981,-54.33413091276053,178
982,-54.33413091276053,178
983,-54.33413091276053,178
984,-54.44831316153541,179
985,-54.44831316153541,179
986,-54.4483131615354,179
987,-54.4483131615354,179
988,-54.4483131615354,179
989,-54.44831316153541,179
990,-54.44831316153541,179
991,-54.44831316153541,179
992,-54.44831316153541,179
993,-54.77063257285876,180
994,-54.77063257285876,180
995,-54.9754383917575,181
996,-54.9754383917575,181
997,-54.9754383917575,181
998,-54.9754383917575,181
999,-54.9754383917575,181
1000,-54.9754383917575,181
1001,-54.9754383917575,181
1002,-54.9754383917575,181
1003,-54.9754383917575,181
1004,-55.416017225121585,182
1005,-55.416017225121585,182
1006,-55.416017225121585,182
1007,-55.4160172251216,182
1008,-55.4160172251216,182
1009,-55.4160172251216,182
1010,-55.4160172251216,182
1011,-55.41601722512159,182
1012,-55.72697092084711,183
1013,-55.985878181216336,184
1014,-55.985878181216336,184
1015,-55.985878181216336,184
1016,-56.35499805060899,185
1017,-56.35499805060899,185
1018,-56.35499805060899,185
1019,-56.354998050609,185
1020,-56.354998050609,185
